gtex_tissues_name,gtex_tissues_name_formatted,gtex_tissues_name_formatted_2,gtex_tissue_group,gtex_tissues_name_to_plot,OMIM_gtex_name,gtex_tissue_name_simplified,n_smafrze_use_me,n_all,tissue_color_hex,tissue_type,gtex_tissues_name_formatted_3
Esophagus - Muscularis,esophagus_muscularis,esophagus_muscularis,esophagus,Muscularis,esophagus_muscularis,esophagusmuscularis,247,283,BB9988,Non-brain,Esophagus-muscularis
,,,,,,,,,,,
Fallopian Tube,fallopian_tube,fallopian_tube,fallopian,Fallopian tube,fallopian_tube,fallopiantube,6,7,NA,Non-brain,Fallopian tube
,,,,,,,,,,,
Heart - Atrial Appendage,heart__atrial_appendage,heart_atrial_appendage,heart,Atrial appendage,heart_atrial_appendage,heartatrialappendage,194,218,9900FF,Non-brain,Atrial appendage
,,,,,,,,,,,
Heart - Left Ventricle,heart_left_ventricle,heart_left_ventricle,heart,Left ventricle,heart_left_ventricle,heartleftventricle,218,271,660099,Non-brain,Left ventricle
,,,,,,,,,,,
Kidney - Cortex,kidney_cortex,kidney_cortex,kidney,Kidney,kidney_cortex,kidneycortex,32,36,2AB2BA,Non-brain,Kidney
,,,,,,,,,,,
Liver,liver,liver,liver,Liver,liver,liver,118,136,AABB66,Non-brain,Liver
,,,,,,,,,,,
Lung,lung,lung,lung,Lung,lung,lung,320,374,99FF00,Non-brain,Lung
,,,,,,,,,,,
Minor Salivary Gland,minor_salivary_gland,minor_salivary_gland,minor,Minor salivary gland,minor_salivary_gland,minorsalivarygland,57,70,99BB88,Non-brain,Minor salivary gland
,,,,,,,,,,,
Muscle - Skeletal,muscle_skeletal,muscle_skeletal,muscle,Skeletal muscle,muscle_skeletal,muscleskeletal,430,475,AAAAFF,Non-brain,Skeletal muscle
,,,,,,,,,,,
Nerve - Tibial,nerve_tibial,nerve_tibial,nerve,Nerve - tibial,nerve_tibial,nervetibial,304,335,FFD700,Non-brain,Nerve-tibial
,,,,,,,,,,,
Ovary,ovary,ovary,ovary,Ovary,ovary,ovary,97,108,FFAAFF,Non-brain,Ovary
,,,,,,,,,,,
Pancreas,pancreas,pancreas,pancreas,Pancreas,pancreas,pancreas,170,197,995522,Non-brain,Pancreas
,,,,,,,,,,,
Pituitary,pituitary,pituitary,pituitary,Pituitary,pituitary,pituitary,103,124,AAFF99,Non-brain,Pituitary
,,,,,,,,,,,
Prostate,prostate,prostate,prostate,Prostate,prostate,prostate,106,119,DDDDDD,Non-brain,Prostate
,,,,,,,,,,,
Skin - Not Sun Exposed (Suprapubic),skin_not_sun_exposed_suprapubic,skin_not_sun_exposed_suprapubic,skin,Skin (suprapubic),skin_not_sun_exposed_suprapubic,skinnotsunexposedsuprapubic,250,271,0000FF,Non-brain,Skin (suprapubic)
,,,,,,,,,,,
Skin - Sun Exposed (Lower leg),skin_sun_exposed_lower_leg,skin_sun_exposed_lower_leg,skin,Skin (lower leg),skin_sun_exposed_lower_leg,skinsunexposedlowerleg,357,397,7777FF,Non-brain,Skin (lower leg)
,,,,,,,,,,,
Small Intestine - Terminal Ileum,small_intestine_terminal_ileum,small_intestine_terminal_ileum,small,Small Intestine,small_intestine_terminal_ileum,smallintestineterminalileum,88,104,555522,Non-brain,Small intestine
,,,,,,,,,,,
Spleen,spleen,spleen,spleen,Spleen,spleen,spleen,104,118,778855,Non-brain,Spleen
,,,,,,,,,,,
Stomach,stomach,stomach,stomach,Stomach,stomach,stomach,193,204,FFDD99,Non-brain,Stomach
,,,,,,,,,,,
Testis,testis,testis,testis,Testis,testis,testis,172,203,AAAAAA,Non-brain,Testis
,,,,,,,,,,,
Thyroid,thyroid,thyroid,thyroid,Thyroid,thyroid,thyroid,323,361,006600,Non-brain,Thyroid
,,,,,,,,,,,
Uterus,uterus,uterus,uterus,Uterus,uterus,uterus,83,90,FF66FF,Non-brain,Uterus
,,,,,,,,,,,
Vagina,vagina,vagina,vagina,Vagina,vagina,vagina,96,97,FF5599,Non-brain,Vagina
,,,,,,,,,,,
Whole Blood,whole_blood,whole_blood,whole,Whole blood,whole_blood,wholeblood,393,456,FF00BB,Non-brain,Whole blood
